101;ABBIATI;Christian;P;MILAN
102;ALDEGANI;Gabriele;P;
103;AMELIA;Marco;P;PALERMO
104;ANTONIOLI;Francesco;P;BOLOGNA
105;ARESTI;Simone;P;CAGLIARI
106;ARTHUR;Gusmao;P;ROMA
107;AVRAMOV;Vlada;P;FIORENTINA
108;BELARDI;Emanuele;P;UDINESE
109;BENUSSI;Francesco;P;LECCE
110;BIZZARRI;Benjamin;P;CATANIA
111;BUFFON;Gianluigi;P;JUVENTUS
112;CALDERONI;Alex;P;TORINO
113;CAMPAGNOLO;Andrea;P;REGGINA
114;CARRIZO;Juan Pablo;P;LAZIO
115;CASTELLAZZI;Luca;P;SAMPDORIA
116;CHIMENTI;Antonio;P;JUVENTUS
117;COLOMBO;Roberto;P;BOLOGNA
118;CONSIGLI;Andrea;P;ATALANTA
119;COPPOLA;Ferdinando;P;ATALANTA
120;CURCI;Gianluca;P;SIENA
121;DEGRE';Vincent;P;LAZIO
122;DIDA;Nelson De Jesus Silva;P;MILAN
123;DONI;Alexander Marangao;P;ROMA
124;ELEFTHEROPOULOS;Dimitrios;P;SIENA
125;FIORILLO;Vincenzo;P;SAMPDORIA
126;FONTANA;Alberto;P;PALERMO
127;FORSYTH;George;P;
128;FREY;Sebastian;P;FIORENTINA
129;GADIGNANI;Fabio;P;BOLOGNA
130;GIANELLO;Matteo;P;NAPOLI
131;HANDANOVIC;Samir;P;UDINESE
132;IEZZO;Gennaro;P;NAPOLI
133;JAAKKOLA;Anssi;P;SIENA
134;JULIO CESAR;Soares De Espinola;P;INTER
135;JULIO SERGIO;Bertagnolli;P;ROMA
136;KALAC;Zeljko;P;MILAN
137;KOSICKY;Tomas;P;CATANIA
138;MANNINGER;Alexander;P;JUVENTUS
139;MARCHETTI;Federico;P;CAGLIARI
140;MARINO;Pietro;P;REGGINA
141;MIRANTE;Antonio;P;SAMPDORIA
142;MUSLERA;Fernando;P;LAZIO
143;NAVARRO;Nicolas;P;NAPOLI
144;NOVEMBRE;Cristiano;P;JUVENTUS
145;ORLANDONI;Paolo;P;INTER
146;PADELLI;Daniele;P;SAMPDORIA
147;PEGOLO;Gianluca;P;
148;POLITO;Ciro;P;CATANIA
149;PUGGIONI;Christian;P;REGGINA
150;ROSATI;Antonio;P;LECCE
151;RUBINHO;Fernando Moedim;P;GENOA
152;SCARPI;Alessio;P;GENOA
153;SERENI;Matteo;P;TORINO
154;SIRIGU;Salvatore;P;
155;SORRENTINO;Stefano;P;CHIEVO
156;SQUIZZI;Lorenzo;P;CHIEVO
157;STORARI;Marco;P;FIORENTINA
158;TOLDO;Francesco;P;INTER
159;LAMANTIA;Mirko;P;GENOA
160;FONTANA;Alberto Maria;P;TORINO
161;KOPRIVEC;Jan;P;UDINESE
162;UJKANI;Samir;P;PALERMO
201;ACCARDI;Pietro;D;SAMPDORIA
202;AGOSTINI;Alessandro;D;CAGLIARI
203;ALVAREZ;Pablo;D;REGGINA
204;ALVAREZ;Pablo Sebastian;D;CATANIA
205;ANDRADE;Jorge;D;JUVENTUS
206;ANDREOLLI;Marco;D;ROMA
207;ANGELO;Mariano de Almeida;D;LECCE
208;ANTONINI;Luca;D;MILAN
209;ANTUNES;Vitorino Gabriel;D;LECCE
210;ARONICA;Salvatore;D;REGGINA
211;ASTORI;Davide;D;CAGLIARI
212;BALZARETTI;Federico;D;PALERMO
213;BASTA;Dusan;D;UDINESE
214;BELLERI;Manuel;D;LAZIO
215;BELLINI;Gianpaolo;D;ATALANTA
216;BELMONTE;Nicola;D;SIENA
217;BIANCO;Paolo;D;CAGLIARI
218;BIAVA;Giuseppe;D;GENOA
219;BOCCHETTI;Salvatore;D;GENOA
220;BONERA;Daniele;D;MILAN
221;BOVO;Cesare;D;PALERMO
222;BRANDAO;Goncalo Jardim;D;SIENA
223;BRITOS;Miguel Angel;D;BOLOGNA
224;BURDISSO;Nicolas Andres;D;INTER
225;CALA';Gaetano;D;UDINESE
226;CAMPAGNARO;Hugo;D;SAMPDORIA
227;CANINI;Michele;D;CAGLIARI
228;CANNAVARO;Paolo;D;NAPOLI
229;CAPELLI;Daniele;D;ATALANTA
230;CAPRINI;Alessandro;D;TORINO
231;CAPUANO;Ciro;D;PALERMO
232;CARROZZIERI;Morris;D;PALERMO
233;CASSANI;Mattia;D;PALERMO
234;CASSETTI;Marco;D;ROMA
235;CASTELLINI;Marcello;D;BOLOGNA
236;CESAR;Vinicio Cervo de Luca;D;CHIEVO
237;CHIELLINI;Giorgio;D;JUVENTUS
238;CHIVU;Cristian;D;INTER
239;CICINHO;Joao De Cezare;D;ROMA
240;CIRILLO;Bruno;D;REGGINA
241;CODA;Andrea;D;UDINESE
242;COLOMBO;Riccardo;D;TORINO
243;COMOTTO;Gianluca;D;FIORENTINA
244;CONTINI;Matteo;D;NAPOLI
245;CORDOBA;Ivan Ramiro;D;INTER
246;COSENZA;Francesco;D;REGGINA
247;COSTA;Andrea;D;REGGINA
248;COTTAFAVA;Marcello;D;LECCE
249;CRIBARI;Sanchez Emilson;D;LAZIO
250;CRISCITO;Domenico;D;GENOA
251;DA COSTA;Manuel;D;FIORENTINA
252;DAINELLI;Dario;D;FIORENTINA
253;DARMIAN;Matteo;D;MILAN
254;DE CEGLIE;Paolo;D;JUVENTUS
255;DEL GROSSO;Cristiano;D;CAGLIARI
256;DEL PRETE;Lorenzo;D;SIENA
257;DELLAFIORE;Hernan Paolo;D;PALERMO
258;DI LORETO;Marco;D;TORINO
259;DIAKITE';Mobido;D;LAZIO
260;DIAMOUTENE;Souleymane;D;LECCE
261;DIGAO;Rodrigo Izecson Santos Leite;D;
262;DOMIZZI;Maurizio;D;NAPOLI
263;ESPOSITO;Andrea;D;LECCE
264;FAVALLI;Giuseppe;D;MILAN
265;FELIPE;Da Silva Dalbelo Dias;D;UDINESE
266;FERRI;Michele;D;CAGLIARI
267;FERRONETTI;Damiano;D;UDINESE
268;FICAGNA;Daniele;D;SIENA
269;FRANCESCHINI;Ivan;D;TORINO
270;FREY;Nicolas;D;CHIEVO
271;GAMBERINI;Alessandro;D;FIORENTINA
272;GARICS;Gyorgy;D;ATALANTA
273;GASTALDELLO;Daniele;D;SAMPDORIA
274;GAZZOLA;Marcello;D;
275;GIOSA;Antonio;D;REGGINA
276;GIULIATTO;Alberto;D;LECCE
277;GRAVA;Gianluca;D;NAPOLI
278;GRYGERA;Zdenek;D;JUVENTUS
279;JANKULOVSKI;Marek;D;MILAN
280;JUAN;Silveira dos Santos;D;ROMA
281;KALADZE;Kakha;D;MILAN
282;KJAER;Simon;D;PALERMO
283;KNEZEVIC;Dario;D;JUVENTUS
284;KROLDRUP;Per;D;FIORENTINA
285;LANNA;Salvatore;D;BOLOGNA
286;LANZARO;Maurizio;D;REGGINA
287;LEGROTTAGLIE;Nicola;D;JUVENTUS
288;LOPEZ;Diego Luis;D;CAGLIARI
289;LORIA;Simone;D;ROMA
290;LUCCHINI;Stefano;D;SAMPDORIA
291;LUKOVIC;Aleksandar;D;UDINESE
292;MAGLIOCCHETTI;Daniele;D;CAGLIARI
293;MAICON;Douglas;D;INTER
294;MALAGO';Marco;D;CHIEVO
295;MALDINI;Paolo;D;MILAN
296;MALDONADO;Ruben;D;
297;MANDELLI;Davide;D;CHIEVO
298;MANFREDINI;Thomas;D;ATALANTA
299;MANTOVANI;Andrea;D;CHIEVO
300;MARCHESE;Giovanni;D;
301;MATERAZZI;Marco;D;INTER
302;MAXWELL;Andrade;D;INTER
303;MAZUCH;Ondrej;D;FIORENTINA
304;MELARA;Matteo;D;
305;MELLBERG;Olof;D;JUVENTUS
306;MEXES;Philippe;D;ROMA
307;MIHOUBI;Hemza;D;LECCE
308;MINELLI;Mauro;D;
309;MOLINARO;Cristian;D;JUVENTUS
310;MORAS;Vangelis;D;BOLOGNA
311;MORO;Fabio;D;CHIEVO
312;MOTTA;Marco;D;UDINESE
313;NATALI;Cesare;D;TORINO
314;NEF;Alain;D;UDINESE
315;NESTA;Alessandro;D;MILAN
316;ODDO;Massimo;D;MILAN
317;OGBONNA;Angelo;D;TORINO
318;PANUCCI;Christian;D;ROMA
319;PASQUAL;Manuel;D;FIORENTINA
320;PASQUALE;Giovanni;D;UDINESE
321;PELLEGRINO;Maximiliano;D;ATALANTA
322;PIERI;Mirko;D;SAMPDORIA
323;PISANO;Francesco;D;CAGLIARI
324;PISANO;Marco;D;TORINO
